Comparative Group,Seed Type,Number,Seed Name,d13C,d15N,CN
Bean,Common Bean,PC012,Amarillo del Norte,-27.5,6.9,13.9
Bean,Common Bean,PC013,Alluvias,-25.7,4.7,11.3
Bean,Common Bean,PC102,Hopi Purple String Bean,-27.9,3.3,13.4
Bean,Common Bean,PC019,Hopi Yellow,-27.3,-0.2,12.7
Bean,Common Bean,PC072,Frijol Manzano,-26.2,2.6,13.8
Bean,Tepary Bean,PW107,San Pedro Wild Tepary,-27.8,3.0,10.8
Bean,Tepary Bean,PT113,San Ignacio,-27.4,1.0,12.0
Bean,Tepary Bean,PW095,Chihuahua Wild Tepary,-26.4,3.1,11.3
Bean,Tepary Bean,PT082,Black,-27.4,3.0,12.3
Bean,Tepary Bean,PT085,Paiute Yellow,-27.2,4.9,10.8
Corn,Dent,ZD084,Dia de San Juan,-11.9,1.6,25.8
Corn,Dent,ZD083,Mayo Tuxpeño,-12.0,2.0,26.3
Corn,Flour,ZF139,Escondida Blue,-11.5,2.3,25.9
Corn,Flour,ZF053,San Felipe Pueblo White,-11.8,1.7,31.1
Corn,Flour,ZF024,Yoeme Blue,-11.7,2.2,24.6
Corn,Flour,ZF057,Tarahumara Harinoso de Ocho,-11.5,2.4,24.6
Corn,Flour,ZF029,Hopi Blue,-12.1,0.0,28.6
Corn,Flour,ZF123,Santo Domingo White,-11.4,3.9,23.2
Corn,Flour/Flint,ZL074,Rio Lucio Concho,-11.8,2.5,27.5
Corn,Flour/Flint,ZL152,Pima 60-day,-12.5,3.8,24.0
Corn,Flour/Flint,ZT111,Onaveño,-11.9,3.2,27.9
Corn,Flour/Flint,ZL079,Nambe White,-11.1,2.2,25.8
Corn,Flour/Flint,ZL052,Mountain Pima Lloron,-11.8,1.6,22.6
Corn,Popcorn,ZP092,Reventador,-12.3,4.6,22.4
Corn,Popcorn,ZP093,Flor del Rio,-12.0,1.0,30.0
Corn,Popcorn,ZP103,Glass Gem,-12.2,9.6,26.4
Corn,Popcorn,ZP101,Tarahumara,-11.3,3.0,28.8
Corn,Popcorn,ZP098,Navajo Copper,-12.1,3.1,22.4
Corn,Sweet,TS361,Stowell's Evergreen,-11.5,2.4,26.3
Corn,Sweet,TS360,Golden Bantam Improved,-11.3,6.4,24.9
Squash,Cushaw,EA004,Calabaza de las Aguas,-25.3,3.3,12.3
Squash,Cushaw,EA003,Gila Pima Ha:l,-26.0,6.1,11.9
Squash,Cushaw,EA049,Southern New Mexico Calabaza,-25.4,9.2,11.1
Squash,Hubbards/Turbans,EX005,Navajo Hubbard,-26.3,4.8,14.3
Squash,Pumpkins/Zucchini,EP052,Mountain Pima Calabaza Mayera,-27.2,5.9,9.7
Squash,Pumpkins/Zucchini,EP049,San Felipe Pumpkin,-26.3,11.9,12.2
Squash,Pumpkins/Zucchini,EP044,Hopi Pumpkin,-25.8,6.4,13.2
Squash,Pumpkins/Zucchini,EP045,Acoma Pumpkin,-26.5,4.2,12.6
